<name2> = <val6>	<name2> に <val6> を入れる
for <name1> , <name2> in enumerate ( <name3> ) :	<name3> のインデックスを <name1> 、要素を <name2> へ順番に代入して次の命令をループ置き換える
for <name2> , <name5> in enumerate ( <name6> ) :	<name6> のインデックスを <name2> 、要素を <name5> へ順番に代入して以降のプログラムをループ直す
for <name1> , <name2> in enumerate ( <name3> ) :	<name3> のインデックスを <name1> 、要素を <name2> へ順番に代入して以降のプログラムをループ直す
for <name4> , <name3> in zip ( <name6> , <name1> ) :	<name6> の要素を <name4> 、 <name1> の要素を <name3> へ順番に代入して以降のプログラムをループする
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以降のプログラムをループする
for <name3> , <name5> in zip ( <name4> , <name2> ) :	<name4> の要素を <name3> 、 <name2> の要素を <name5> へ順番に代入して次の命令をループ直す
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して次の命令をループ直す
for <name6> , <name1> in zip ( <name3> , <name5> ) :	<name3> の要素を <name6> 、 <name5> の要素を <name1> へ順に代入して以下の処理をまわす
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順に代入して以下の処理をまわす
for <name3> , <name4> in zip ( <name2> , <name1> ) :	<name2> の要素を <name3> 、 <name1> の要素を <name4> へ順番に代入して次の命令を繰り返す
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して次の命令を繰り返す
for <name5> , <name2> in zip ( <name1> , <name6> ) :	<name1> の要素を <name5> 、 <name6> の要素を <name2> へ順に代入して次の命令を回す
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順に代入して次の命令を回す
for <name4> , <name1> in zip ( <name2> , <name6> ) :	<name2> の要素を <name4> 、 <name6> の要素を <name1> へ順番に代入して以下の処理を繰り返す
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以下の処理を繰り返す
for <name1> , <name2> in zip ( <name4> , <name6> ) :	<name4> の要素を <name1> 、 <name6> の要素を <name2> へ順に代入して以降のプログラムをまわす
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順に代入して以降のプログラムをまわす
for <name6> , <name4> in zip ( <name1> , <name3> ) :	<name1> の要素を <name6> 、 <name3> の要素を <name4> へ順に代入して以降のプログラムを回す
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順に代入して以降のプログラムを回す
for <name2> , <name1> in zip ( <name4> , <name3> ) :	<name4> の要素を <name2> 、 <name3> の要素を <name1> へ順番に代入して以下の処理をループする
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以下の処理をループする
for <name6> , <name3> in zip ( <name1> , <name2> ) :	<name1> の要素を <name6> 、 <name2> の要素を <name3> へ順番に代入して以降のプログラムをループ直す
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以降のプログラムをループ直す
for <name6> , <name5> in zip ( <name2> , <name1> ) :	<name2> の要素を <name6> 、 <name1> の要素を <name5> へ順に代入して次の命令をまわす
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順に代入して次の命令をまわす
for <name3> , <name4> in zip ( <name2> , <name1> ) :	<name2> の要素を <name3> 、 <name1> の要素を <name4> へ順番に代入して以降のプログラムを繰り返す
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以降のプログラムを繰り返す
for <name4> , <name2> in zip ( <name6> , <name5> ) :	<name6> の要素を <name4> 、 <name5> の要素を <name2> へ順に代入して以下の処理を回す
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順に代入して以下の処理を回す
for <name2> , <name4> in zip ( <name6> , <name3> ) :	<name6> の要素を <name2> 、 <name3> の要素を <name4> へ順番に代入して以下の処理をループ置き換える
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以下の処理をループ置き換える
for <name5> , <name1> in zip ( <name3> , <name4> ) :	<name3> の要素を <name5> 、 <name4> の要素を <name1> へ順番に代入して次の命令をループ置き換える
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して次の命令をループ置き換える
for <name4> , <name6> in zip ( <name2> , <name3> ) :	<name2> の要素を <name4> 、 <name3> の要素を <name6> へ順番に代入して以下の処理をループ直す
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以下の処理をループ直す
for <name5> , <name2> in zip ( <name4> , <name1> ) :	<name4> の要素を <name5> 、 <name1> の要素を <name2> へ順番に代入して次の命令をループする
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して次の命令をループする
for <name4> , <name5> in zip ( <name2> , <name1> ) :	<name2> の要素を <name4> 、 <name1> の要素を <name5> へ順番に代入して以降のプログラムをループ置き換える
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以降のプログラムをループ置き換える
while True :	以下の処理をずっとループ置き換える
while True :	以下の処理をずっと繰り返す
while True :	以下の処理を無限に回す
while True :	以下の処理を無限にまわす
while True :	以下の処理をずっとループする
while True :	以下の処理をずっとループ直す
while True :	無限ループを行う
pass	何もしない
pass	何も行わない
pass	パスする
break	抜ける
break	中断する
break	ループを抜ける
break	ループを終了する
break	繰り返し処理を終了する
break	ループを抜け出す
break	ループ処理を抜け出す
break	ループ処理を終了する
break	繰り返し処理を抜ける
break	ループ処理を抜ける
break	繰り返し処理を抜け出す
break	繰り返し処理から終了する
break	ループ処理から抜ける
break	ループから抜け出す
break	繰り返し処理から抜ける
break	ループ処理から抜け出す
break	繰り返し処理から抜け出す
break	ループから終了する
break	ループから抜ける
break	ループ処理から終了する
continue	先頭に戻ってやり直す
continue	最初から繰り返す
try :	可能なら以下のプログラムを処理する
try :	できたら以下のプログラムを処理する
try :	可能であれば以下のプログラムを処理する
try :	できたら以下の命令を処理する
try :	可能であれば以下の処理を実行する
try :	可能なら以下の処理を実行する
try :	可能であれば以下の命令を処理する
try :	できたら以下の処理を処理する
try :	可能なら以下のプログラムを実行する
try :	可能なら以下の命令を実行する
try :	可能であれば以下の処理を処理する
try :	可能なら以下の命令を処理する
try :	可能なら以下の処理を処理する
try :	可能であれば以下の命令を実行する
try :	可能であれば以下のプログラムを実行する
except :	もし何らかの例外が発生した場合
except :	もし何らかの例外が発生した時
except :	何らかの例外が発生したとき
except :	もし何らかの例外が発生したとき
except :	何らかの例外が発生した時
except :	もし try の中のプログラムが実行できなかった時
except :	もし try の中の処理が実行できなかったとき
except :	try の中のプログラムが実行できなかった時
except :	try の中の処理が実行できなかったとき
except :	try の中の命令が実行できなかった時
except :	もし try の中の処理が実行できなかった時
except :	try の中の処理が実行できなかった時
except :	もし try の中の命令が実行できなかった場合
except :	もし try の中のプログラムが実行できなかったとき
except :	もし try の中のプログラムが実行できなかった場合
except :	もし try の中の命令が実行できなかった時
except :	もし try の中の処理が実行できなかった場合
except :	try の中のプログラムが実行できなかったとき
except :	try の中の命令が実行できなかったとき
except :	もし try の中の命令が実行できなかったとき
except <name1> :	もし <name1> が発生したとき
except <name3> :	もし <name3> が発生した時
except <name1> :	もし <name1> が発生した時
except <name1> :	<name1> が発生したとき
except <name5> :	<name5> が発生した時
except <name1> :	<name1> が発生した時
finally :	例外が発生してもしなくても
def <name3> ( <name5> ) :	<name5> を引数に持つ関数 <name3> を定義する
def <name1> ( <name2> ) :	<name2> を引数に持つ関数 <name1> を定義する
def <name3> ( <name4> ) :	<name4> を引数に持つ関数を <name3> という名前で定義する
def <name1> ( <name2> ) :	<name2> を引数に持つ関数を <name1> という名前で定義する
return	何も返さない
return <name3>	<name3> をリターン直す
return <name1>	<name1> をリターン直す
return <name6>	<name6> を返す
return <name1>	<name1> を返す
return <name2>	<name2> をリターンする
return <name1>	<name1> をリターンする
return <name2>	<name2> をリターン置き換える
return <name1>	<name1> をリターン置き換える
yield <val5>	<val5> を一旦リターンする
yield <val1>	<val1> を一旦リターンする
yield <val1>	<val1> を一旦リターン置き換える
yield <val4>	一旦 <val4> をリターンする
yield <val1>	一旦 <val1> をリターンする
yield <val6>	<val6> を一旦リターン直す
yield <val1>	<val1> を一旦リターン直す
yield <val6>	一旦 <val6> をリターン置き換える
yield <val1>	一旦 <val1> をリターン置き換える
yield <val1>	一旦 <val1> をリターン直す
[ ]	空列
<name3> = [ ]	空列を <name3> にする
<name1> = [ ]	空列を <name1> にする
[ ]	空のリスト
<name4> = [ ]	空のリストを <name4> に代入する
<name1> = [ ]	空のリストを <name1> に代入する
( )	空のタプル
<name4> = ( )	空のタプルを <name4> に代入する
<name1> = ( )	空のタプルを <name1> に代入する
<name6> [ 0 ]	<name6> の先頭の要素
<name1> [ 0 ]	<name1> の先頭の要素
<name5> [ 0 ]	<name5> の先頭の値
<name1> [ 0 ]	<name1> の先頭の値
<name5> [ <val3> ]	<name5> の <val3> 番目の要素
<name1> [ <val2> ]	<name1> の <val2> 番目の要素
<name1> [ 0 ]	<name1> の最初
<name5> [ 0 ]	<name5> の最初の要素
<name1> [ 0 ]	<name1> の最初の要素
<name1> [ -1 ]	<name1> の末尾の要素
<name5> [ -1 ]	<name5> の末尾
<name1> [ -1 ]	<name1> の末尾
<name6> [ -1 ]	<name6> の末尾の値
<name1> [ -1 ]	<name1> の末尾の値
<name5> [ : ]	<name5> のコピー
<name1> [ : ]	<name1> のコピー
<name1> [ : ]	<name1> がコピーされた列
<name6> [ : -1 ]	<name6> の末尾を除いた部分列
<name1> [ : -1 ]	<name1> の末尾を除いた部分列
<name5> [ : -1 ]	<name5> の最後を除いた部分列
<name1> [ : -1 ]	<name1> の最後を除いた部分列
<name6> [ 1 : ]	<name6> の先頭を除いた部分列
<name1> [ 1 : ]	<name1> の先頭を除いた部分列
<name5> [ 1 : ]	<name5> の最初を除いた部分列
<name1> [ 1 : ]	<name1> の最初を除いた部分列
<name2> [ 1 : ]	<name2> の 0 番目を除いた部分列
<name1> [ 1 : ]	<name1> の 0 番目を除いた部分列
<name2> [ <name4> : <name3> ]	<name2> の <name4> 番目から <name3> 番目の値を抜き出す
<name1> [ <name2> : <name3> ]	<name1> の <name2> 番目から <name3> 番目の値を抜き出す
<name3> [ <name5> : <name4> ]	<name3> の <name5> 番目から <name4> 番目の要素を抜き出す
<name1> [ <name2> : <name3> ]	<name1> の <name2> 番目から <name3> 番目の要素を抜き出す
<name4> [ <name2> : <name5> ]	<name4> の <name2> 番目から <name5> 番目の値を得る
<name1> [ <name2> : <name3> ]	<name1> の <name2> 番目から <name3> 番目の値を得る
<name6> [ <name4> : <name2> ]	<name6> の <name4> 番目から <name2> 番目の値を取得する
<name1> [ <name2> : <name3> ]	<name1> の <name2> 番目から <name3> 番目の値を取得する
<name4> [ <name3> : <name6> ]	<name4> の <name3> 番目から <name6> 番目の要素を得る
<name1> [ <name2> : <name3> ]	<name1> の <name2> 番目から <name3> 番目の要素を得る
<name4> [ <name1> : <name3> ]	<name4> の <name1> 番目から <name3> 番目の値を取り出す
<name1> [ <name2> : <name3> ]	<name1> の <name2> 番目から <name3> 番目の値を取り出す
<name6> [ <name5> : <name1> ]	<name6> の <name5> 番目から <name1> 番目の要素を取り出す
<name1> [ <name2> : <name3> ]	<name1> の <name2> 番目から <name3> 番目の要素を取り出す
<name5> [ <name1> : ]	<name5> の <name1> 番目から末尾までの要素を取り出す
<name1> [ <name2> : ]	<name1> の <name2> 番目から末尾までの要素を取り出す
<name4> [ <name2> : ]	<name4> の <name2> 番目から末尾までの値を抜き出す
<name1> [ <name2> : ]	<name1> の <name2> 番目から末尾までの値を抜き出す
<name1> [ <name5> : ]	<name1> の <name5> 番目から末尾までの値を取り出す
<name1> [ <name2> : ]	<name1> の <name2> 番目から末尾までの値を取り出す
<name1> [ <name2> : ]	<name1> の <name2> 番目から末尾までの要素を抜き出す
<name6> [ <name1> : ]	<name6> の <name1> 番目から最後までの値を得る
<name1> [ <name2> : ]	<name1> の <name2> 番目から最後までの値を得る
<name6> [ <name3> : ]	<name6> の <name3> 番目から最後までの要素を得る
<name1> [ <name2> : ]	<name1> の <name2> 番目から最後までの要素を得る
<name3> [ <name1> : ]	<name3> の <name1> 番目以降の値を取り出す
<name1> [ <name2> : ]	<name1> の <name2> 番目以降の値を取り出す
<name2> [ <name1> : ]	<name2> の <name1> 番目以降の値を得る
<name1> [ <name2> : ]	<name1> の <name2> 番目以降の値を得る
<name6> [ <name2> : ]	<name6> の <name2> 番目以降の値を抜き出す
<name1> [ <name2> : ]	<name1> の <name2> 番目以降の値を抜き出す
<name1> [ <name5> : ]	<name1> の <name5> 番目以降の要素を得る
<name1> [ <name2> : ]	<name1> の <name2> 番目以降の要素を得る
<name4> [ <name1> : ]	<name4> の <name1> 番目以降の要素を抜き出す
<name1> [ <name2> : ]	<name1> の <name2> 番目以降の要素を抜き出す
<name1> [ <name6> : ]	<name1> の <name6> 番目以降の要素を取り出す
<name1> [ <name2> : ]	<name1> の <name2> 番目以降の要素を取り出す
<name1> [ : <name5> ]	<name1> の 0 番目から <name5> 番目の値を取り出す
<name1> [ : <name2> ]	<name1> の 0 番目から <name2> 番目の値を取り出す
<name2> [ : <name5> ]	<name2> の 0 番目から <name5> 番目の値を得る
<name1> [ : <name2> ]	<name1> の 0 番目から <name2> 番目の値を得る
<name1> [ : <name4> ]	<name1> の 0 番目から <name4> 番目の要素を得る
<name1> [ : <name2> ]	<name1> の 0 番目から <name2> 番目の要素を得る
<name6> [ : <name5> ]	<name6> の 0 番目から <name5> 番目の値を抜き出す
<name1> [ : <name2> ]	<name1> の 0 番目から <name2> 番目の値を抜き出す
<name2> [ : <name1> ]	<name2> の 0 番目から <name1> 番目の要素を取り出す
<name1> [ : <name2> ]	<name1> の 0 番目から <name2> 番目の要素を取り出す
<name2> [ : <name1> ]	<name2> の 0 番目から <name1> 番目の要素を抜き出す
<name1> [ : <name2> ]	<name1> の 0 番目から <name2> 番目の要素を抜き出す
<name4> [ : : -1 ]	<name4> の逆順
<name1> [ : : -1 ]	<name1> の逆順
<name1> [ : : -1 ]	リスト <name1> の逆順
<name6> [ : : -1 ]	<name6> リストの逆順
<name1> [ : : -1 ]	<name1> リストの逆順
<name5> [ : : -1 ]	<name5> 内の要素の順番を逆にする
<name1> [ : : -1 ]	<name1> 内の要素の順番を逆にする
<name6> [ : : -1 ]	<name6> 内の値の順番を逆転する
<name1> [ : : -1 ]	<name1> 内の値の順番を逆転する
<name4> [ : : -1 ]	<name4> リスト内の値の順番を逆にする
<name1> [ : : -1 ]	<name1> リスト内の値の順番を逆にする
<name5> [ : : -1 ]	リスト <name5> 内の値の順番を逆転する
<name1> [ : : -1 ]	リスト <name1> 内の値の順番を逆転する
<name5> [ : : -1 ]	<name5> 内の値の順番を逆に置き換える
<name1> [ : : -1 ]	<name1> 内の値の順番を逆に置き換える
<name5> [ : : -1 ]	リスト <name5> 内の要素の順番を逆にする
<name1> [ : : -1 ]	リスト <name1> 内の要素の順番を逆にする
<name4> [ : : -1 ]	<name4> リスト内の要素の順番を逆にする
<name1> [ : : -1 ]	<name1> リスト内の要素の順番を逆にする
<name4> [ : : -1 ]	リスト <name4> 内の値の順番を逆にする
<name1> [ : : -1 ]	リスト <name1> 内の値の順番を逆にする
<name1> [ : : -1 ]	リスト <name1> 内の要素の順番を逆転する
<name2> [ : : -1 ]	<name2> リスト内の値の順番を逆に置き換える
<name1> [ : : -1 ]	<name1> リスト内の値の順番を逆に置き換える
<name1> [ : : -1 ]	<name1> 内の値の順番を逆にする
<name6> [ : : -1 ]	<name6> 内の要素の順番を逆に直す
<name1> [ : : -1 ]	<name1> 内の要素の順番を逆に直す
<name5> [ : : -1 ]	<name5> リスト内の値の順番を逆転する
<name1> [ : : -1 ]	<name1> リスト内の値の順番を逆転する
<name3> [ : : -1 ]	<name3> リスト内の値の順番を逆に直す
<name1> [ : : -1 ]	<name1> リスト内の値の順番を逆に直す
<name3> [ : : -1 ]	リスト <name3> 内の要素の順番を逆に置き換える
<name1> [ : : -1 ]	リスト <name1> 内の要素の順番を逆に置き換える
<name3> [ : : -1 ]	<name3> 内の要素の順番を逆転する
<name1> [ : : -1 ]	<name1> 内の要素の順番を逆転する
<name3> [ : : -1 ]	<name3> 内の要素の順番を逆に置き換える
<name1> [ : : -1 ]	<name1> 内の要素の順番を逆に置き換える
<name2> [ : : -1 ]	<name2> リスト内の要素の順番を逆に直す
<name1> [ : : -1 ]	<name1> リスト内の要素の順番を逆に直す
<name4> [ : : -1 ]	リスト <name4> 内の要素の順番を逆に直す
<name1> [ : : -1 ]	リスト <name1> 内の要素の順番を逆に直す
<name6> [ : : -1 ]	<name6> リスト内の要素の順番を逆転する
<name1> [ : : -1 ]	<name1> リスト内の要素の順番を逆転する
<name4> [ : : -1 ]	<name4> 内の値の順番を逆に直す
<name1> [ : : -1 ]	<name1> 内の値の順番を逆に直す
<name3> [ : : -1 ]	<name3> リスト内の要素の順番を逆に置き換える
<name1> [ : : -1 ]	<name1> リスト内の要素の順番を逆に置き換える
<name5> [ : : -1 ]	リスト <name5> 内の値の順番を逆に直す
<name1> [ : : -1 ]	リスト <name1> 内の値の順番を逆に直す
<name2> [ : : -1 ]	リスト <name2> 内の値の順番を逆に置き換える
<name1> [ : : -1 ]	リスト <name1> 内の値の順番を逆に置き換える
len ( <name3> )	<name3> の長さ
len ( <name1> )	<name1> の長さ
len ( <name3> )	<name3> の個数
len ( <name1> )	<name1> の個数
len ( <name5> )	<name5> の要素数
len ( <name1> )	<name1> の要素数
len ( <name3> )	<name3> の長さを確認する
len ( <name1> )	<name1> の長さを確認する
len ( <name5> )	<name5> の個数をチェックする
len ( <name1> )	<name1> の個数をチェックする
len ( <name5> )	<name5> の要素数を調べる
len ( <name1> )	<name1> の要素数を調べる
len ( <name1> )	<name1> の長さを計算する
len ( <name6> )	<name6> の個数を求める
len ( <name1> )	<name1> の個数を求める
len ( <name2> )	<name2> の要素数を算出する
len ( <name1> )	<name1> の要素数を算出する
sum ( <name6> )	<name6> の合計値
sum ( <name1> )	<name1> の合計値
sum ( <name2> )	<name2> リストの総和
sum ( <name1> )	<name1> リストの総和
sum ( <name4> )	<name4> リストの合計
sum ( <name1> )	<name1> リストの合計
sum ( <name2> )	<name2> の総和
sum ( <name1> )	<name1> の総和
sum ( <name1> )	リスト <name1> の合計値
sum ( <name2> )	<name2> の合計
sum ( <name1> )	<name1> の合計
sum ( <name6> )	<name6> リストの合計値
sum ( <name1> )	<name1> リストの合計値
sum ( <name5> )	リスト <name5> の合計
sum ( <name1> )	リスト <name1> の合計
sum ( <name5> )	リスト <name5> の総和
sum ( <name1> )	リスト <name1> の総和
sum ( <name2> )	<name2> の合計値を表示する
sum ( <name1> )	<name1> の合計値を表示する
sum ( <name3> )	<name3> リストの総和をチェックする
sum ( <name1> )	<name1> リストの総和をチェックする
sum ( <name2> )	<name2> の総和を見る
sum ( <name1> )	<name1> の総和を見る
sum ( <name4> )	<name4> リストの合計を調べる
sum ( <name1> )	<name1> リストの合計を調べる
sum ( <name4> )	リスト <name4> の合計をチェックする
sum ( <name1> )	リスト <name1> の合計をチェックする
sum ( <name6> )	リスト <name6> の総和を調べる
sum ( <name1> )	リスト <name1> の総和を調べる
sum ( <name4> )	<name4> の合計を調べる
sum ( <name1> )	<name1> の合計を調べる
sum ( <name5> )	リスト <name5> の合計値を確認する
sum ( <name1> )	リスト <name1> の合計値を確認する
sum ( <name6> )	<name6> リストの合計値をチェックする
sum ( <name1> )	<name1> リストの合計値をチェックする
sum ( <name2> )	<name2> の合計値を算出する
sum ( <name1> )	<name1> の合計値を算出する
sum ( <name4> )	リスト <name4> の総和を求める
sum ( <name1> )	リスト <name1> の総和を求める
sum ( <name4> )	<name4> リストの総和を求める
sum ( <name1> )	<name1> リストの総和を求める
sum ( <name6> )	リスト <name6> の合計を計算する
sum ( <name1> )	リスト <name1> の合計を計算する
sum ( <name4> )	<name4> リストの合計を計算する
sum ( <name1> )	<name1> リストの合計を計算する
sum ( <name1> )	<name1> リストの合計値を計算する
sum ( <name1> )	<name1> の合計を算出する
sum ( <name1> )	<name1> の総和を算出する
sum ( <name2> )	リスト <name2> の合計値を求める
sum ( <name1> )	リスト <name1> の合計値を求める
min ( <name2> )	<name2> の最小値
min ( <name1> )	<name1> の最小値
min ( <name2> )	リスト <name2> の一番小さい値
min ( <name1> )	リスト <name1> の一番小さい値
min ( <name3> )	<name3> の一番小さい値
min ( <name1> )	<name1> の一番小さい値
min ( <name1> )	<name1> リストの最小値
min ( <name3> )	<name3> リストの一番小さい値
min ( <name1> )	<name1> リストの一番小さい値
min ( <name2> )	リスト <name2> の最小値
min ( <name1> )	リスト <name1> の最小値
min ( <name3> )	<name3> の最小値をチェックする
min ( <name1> )	<name1> の最小値をチェックする
min ( <name3> )	<name3> の一番小さい値をチェックする
min ( <name1> )	<name1> の一番小さい値をチェックする
min ( <name4> )	<name4> リストの一番小さい値を見る
min ( <name1> )	<name1> リストの一番小さい値を見る
min ( <name5> )	リスト <name5> の一番小さい値を調べる
min ( <name1> )	リスト <name1> の一番小さい値を調べる
min ( <name1> )	リスト <name1> の最小値を見る
min ( <name4> )	<name4> リストの最小値を調べる
min ( <name1> )	<name1> リストの最小値を調べる
min ( <name1> )	<name1> の一番小さい値を求める
min ( <name1> )	リスト <name1> の一番小さい値を計算する
min ( <name2> )	<name2> リストの一番小さい値を計算する
min ( <name1> )	<name1> リストの一番小さい値を計算する
min ( <name5> )	<name5> の最小値を求める
min ( <name1> )	<name1> の最小値を求める
min ( <name1> )	リスト <name1> の最小値を計算する
min ( <name3> )	<name3> リストの最小値を算出する
min ( <name1> )	<name1> リストの最小値を算出する
max ( <name2> ) @check @calc	<name2> の最大値
max ( <name1> ) @check @calc	<name1> の最大値
max ( <name1> ) @check @calc	<name1> リストの最大値
max ( <name5> ) @check @calc	<name5> の一番大きい値
max ( <name1> ) @check @calc	<name1> の一番大きい値
max ( <name6> ) @check @calc	リスト <name6> の最大値
max ( <name1> ) @check @calc	リスト <name1> の最大値
max ( <name3> ) @check @calc	<name3> リストの一番大きい値
max ( <name1> ) @check @calc	<name1> リストの一番大きい値
max ( <name2> ) @check @calc	リスト <name2> の一番大きい値
max ( <name1> ) @check @calc	リスト <name1> の一番大きい値
sum ( <name4> ) / len ( <name4> )	<name4> の平均
sum ( <name1> ) / len ( <name1> )	<name1> の平均
sum ( <name4> ) / len ( <name4> )	リスト <name4> の平均
sum ( <name1> ) / len ( <name1> )	リスト <name1> の平均
sum ( <name4> ) / len ( <name4> )	<name4> リストの平均
sum ( <name1> ) / len ( <name1> )	<name1> リストの平均
sum ( <name5> ) / len ( <name5> )	リスト <name5> の平均値
sum ( <name1> ) / len ( <name1> )	リスト <name1> の平均値
sum ( <name4> ) / len ( <name4> )	<name4> リストの平均値
sum ( <name1> ) / len ( <name1> )	<name1> リストの平均値
sum ( <name4> ) / len ( <name4> )	<name4> の平均値
sum ( <name1> ) / len ( <name1> )	<name1> の平均値
sum ( <name5> ) / len ( <name5> )	<name5> の平均値を見る
sum ( <name1> ) / len ( <name1> )	<name1> の平均値を見る
sum ( <name2> ) / len ( <name2> )	<name2> リストの平均を表示する
sum ( <name1> ) / len ( <name1> )	<name1> リストの平均を表示する
sum ( <name3> ) / len ( <name3> )	リスト <name3> の平均値をチェックする
sum ( <name1> ) / len ( <name1> )	リスト <name1> の平均値をチェックする
sum ( <name5> ) / len ( <name5> )	<name5> の平均を調べる
sum ( <name1> ) / len ( <name1> )	<name1> の平均を調べる
sum ( <name3> ) / len ( <name3> )	リスト <name3> の平均を確認する
sum ( <name1> ) / len ( <name1> )	リスト <name1> の平均を確認する
sum ( <name6> ) / len ( <name6> )	<name6> リストの平均値をチェックする
sum ( <name1> ) / len ( <name1> )	<name1> リストの平均値をチェックする
sum ( <name5> ) / len ( <name5> )	<name5> の平均を求める
sum ( <name1> ) / len ( <name1> )	<name1> の平均を求める
sum ( <name1> ) / len ( <name1> )	<name1> リストの平均を求める
sum ( <name3> ) / len ( <name3> )	<name3> の平均値を計算する
sum ( <name1> ) / len ( <name1> )	<name1> の平均値を計算する
sum ( <name6> ) / len ( <name6> )	リスト <name6> の平均を求める
sum ( <name1> ) / len ( <name1> )	リスト <name1> の平均を求める
sum ( <name4> ) / len ( <name4> )	<name4> リストの平均値を計算する
sum ( <name1> ) / len ( <name1> )	<name1> リストの平均値を計算する
sum ( <name6> ) / len ( <name6> )	リスト <name6> の平均値を算出する
sum ( <name1> ) / len ( <name1> )	リスト <name1> の平均値を算出する
range ( <name2> )	0 から <name2> -1 までの数列
range ( <name1> )	0 から <name1> -1 までの数列
range ( <name4> )	0 から <name4> -1 の範囲の数列
range ( <name1> )	0 から <name1> -1 の範囲の数列
range ( <name4> )	0 から <name4> -1 の範囲で 1 ずつ増える数列
range ( <name1> )	0 から <name1> -1 の範囲で 1 ずつ増える数列
range ( <name6> )	0 ~ <name6> -1 の範囲の数列
range ( <name1> )	0 ~ <name1> -1 の範囲の数列
range ( <name6> )	0 ~ <name6> -1 の範囲で 1 ずつ増える数列
range ( <name1> )	0 ~ <name1> -1 の範囲で 1 ずつ増える数列
range ( <name5> )	0 以上 <name5> 未満の範囲で 1 ずつ増える数列
range ( <name1> )	0 以上 <name1> 未満の範囲で 1 ずつ増える数列
range ( <name4> )	0 以上 <name4> 未満で 1 ずつ増える数列
range ( <name1> )	0 以上 <name1> 未満で 1 ずつ増える数列
range ( <name2> )	0 以上 <name2> 未満の範囲の数列
range ( <name1> )	0 以上 <name1> 未満の範囲の数列
range ( <val1> , <name3> + <val1> )	<val1> から <name3> までの数列
range ( <val1> , <name2> + <val1> )	<val1> から <name2> までの数列
range ( <val5> , <name4> + <val5> )	<val5> から <name4> の範囲の数列
range ( <val1> , <name2> + <val1> )	<val1> から <name2> の範囲の数列
range ( <val2> , <name5> + <val2> )	<val2> から <name5> の範囲で <val2> ずつ増える数列
range ( <val1> , <name2> + <val1> )	<val1> から <name2> の範囲で <val1> ずつ増える数列
range ( <val4> , <name3> + <val4> )	<val4> ~ <name3> の範囲の数列
range ( <val1> , <name2> + <val1> )	<val1> ~ <name2> の範囲の数列
range ( <val3> , <name6> + <val3> )	<val3> ~ <name6> の範囲で <val3> ずつ増える数列
range ( <val1> , <name2> + <val1> )	<val1> ~ <name2> の範囲で <val1> ずつ増える数列
range ( <val3> , <name4> + <val3> )	<val3> 以上 <name4> + <val3> 未満の範囲で <val3> ずつ増える数列
range ( <val1> , <name2> + <val1> )	<val1> 以上 <name2> + <val1> 未満の範囲で <val1> ずつ増える数列
range ( <val1> , <name3> + <val1> )	<val1> 以上 <name3> + <val1> 未満で <val1> ずつ増える数列
range ( <val1> , <name2> + <val1> )	<val1> 以上 <name2> + <val1> 未満で <val1> ずつ増える数列
range ( <val5> , <name4> + <val5> , <val3> )	<val5> から <name4> までの <val3> つ飛ばしの数列
range ( <val1> , <name2> + <val1> , <val3> )	<val1> から <name2> までの <val3> つ飛ばしの数列
